"Buletin Analisa Perkembagan Harga Komoditas Pertanian Juni 2011";"Pusat Data dan Sistem Informasi Pertanian";;"Pusat Data Dan Sistem Informasi Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Buletin/Buletin Analisa Perkembagan Harga Komoditas Pertanian Juni 2011.pdf"
"35 Tahun Berkarya Untuk Petani";"Pusat Sosial Ekonomi dan Kebijakan Pertanian ";;"Badan Penelitian Dan Pengembangan Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Inovasi/35 Tahun Berkarya Untuk Petani.pdf"
"Buletin Analisa Perkembangan Harga Komoditas Pertanian April 2013.pdfBuletin Analisa Perkembangan Harga Komoditas Pertanian April 2013.pdfBuletin Analisa Perkembangan Harga Komoditas Pertanian April 2013.pdfBuletin Analisa Perkembangan Harga Komoditas Pertanian April 2013.pdfBuletin Analisa Perkembangan Harga Komoditas Pertanian April 2013.pdfBuletin Analisa Perkembangan Harga Komoditas Pertanian April 2013.pdfBuletin Analisa Perkembangan Harga Komoditas Pertanian April 2013.";"Pusat data dan sistem informarmasi petertanian";;"Pusat Data Dan Sistem Informasi Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Buletin/Buletin Analisa Perkembangan Harga Komoditas Pertanian April 2013.pdf"
"Buletin analisa perkembangan harga  komoditas pertanian maret 2013  ditas pertanian maret 2013.pdf";"Pusat data dan sistem informasi pertanian";;"Pusat Data Dan Sistem Informasi Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Buletin/Buletin analisa perkembangan harga  komoditas pertanian maret 2013  ditas pertanian maret 2013.pdf"
"Alur Sertifikasi Benih Tanaman Perkebunan";"Balai Besar Pembenihan  Dan Proteksi Tanaman Perkebunan";;"Balai Besar Perbenihan Dan Proteksi Tanaman Perkebunan Surabaya";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/alur sertifikasi benih tanaman perkebunan.pdf"
"Aksapon SR Penekan Emisi Gas Metan";"Badan Litbang Pertanian";;"Badan Penelitian Dan Pengembangan Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/aksapon SR penekan emisi gas metan.pdf"
"Aneka Olahan Rosella";"Balai Penelitian dan Pengembangan Pertanin";;"Badan Penelitian Dan Pengembangan Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Aneka Olahan Rosella.pdf"
"Aneka Olahan Pangan Lokal";"Pusat Konsumsi dan Keamanan Pangan, Badan Ketahanan Pangan";;"Badan Ketahanan Pangan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Aneka Olahan Pangan Lokal.pdf"
Apel.pdf;"Direktorat Pengembangan Usaha dan Investasi";;"Direktorat Jenderal Pengolahan Dan Pemasaran Hasil Pertanian";2014;pdf;;;;;http://ppid.pertanian.go.id/doc/1/Apel.pdf
"Alat dan Mesin Pengolah Kakao";"Direktorat Jendral Bina Sarana Pertanian Departemen Pertanian";;"Direktorat Jenderal Prasarana Dan Sarana Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Alat dan Mesin Pengolah Kakao.pdf"
"Kumpulan peraturan pupuk";;;;2014;pdf;;;;;http://ppid.pertanian.go.id/doc/1/Binder1.pdf
"aneka ulahan umbi";;;;2014;pdf;;;;;http://ppid.pertanian.go.id/doc/1/Binder1.pdf
"Bisnis Tanaman Hias 500 Ribu";"Pusat Perpusatakaan dan Penyebaran Teknologi PEertanian";;"Pusat Perpustakaan Dan Penyebaran Teknologi Pertanian (pustaka) ";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/bisnis tanaman hias 500rb.pdf"
"Inovasi mengantisipasi perubahan iklim untuk kemandirian pangan";;;;2014;pdf;;;;;http://ppid.pertanian.go.id/doc/1/Binder1.pdf
"metode standar pengujian efikasi insektisida";;;;2014;pdf;;;;;http://ppid.pertanian.go.id/doc/1/Binder1.pdf
"Home industri buah dan sayur";"Pusat Perpustakaan dan Penyebaran Teknologi Pertanian";;"Pusat Perpustakaan Dan Penyebaran Teknologi Pertanian (pustaka) ";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/home industry keripik buah sayur.pdf"
"Buah Naga Sragen";"Badan Ketahanan Pangan Prov. Jateng";;"Badan Ketahanan Pangan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/buah naga sragen.pdf"
"Metode standar pengujian efikasi pestisida rumah tangga dan pengendalian vektor";;;;2014;pdf;;;;;http://ppid.pertanian.go.id/doc/1/Binder1.pdf
"Bio Aditif";"Balai Penelitian dan Pengembangan Pertanian";;"Badan Penelitian Dan Pengembangan Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/bio aditif.pdf"
"Awas Penyakit Mulut Dan Kuku Muncul Kembali";"Balai Karantina Pertanian";;"Badan Karantina Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Awas Penyakit Mulut dan Kuku Muncul Kembali.pdf"
"Bahan Regulasi";;;;2014;pdf;;;;;http://ppid.pertanian.go.id/doc/1/Binder1.pdf
"Budidaya Anggrek Phalaenopsis";"Balai Penelitian Tanaman Hias";;"Badan Penelitian Dan Pengembangan Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya Anggrek Phalaenopsis.pdf"
"Budidaya Anggrek Dendrobium";"Balai Penelitian Tanaman Hias";;"Badan Penelitian Dan Pengembangan Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya Anggrek Dendrobium.pdf"
"Buah Sayurann Aman Kosumsi";"Badan Ketahanan Pangan Provinsi Sulawesi Selatan";;"Badan Ketahanan Pangan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/buah sayuran aman konsumsi.pdf"
"Briket Arang Limbah Sekam Padi";"Pusah Pertpustakaan dan Penyebaran Teknologi Pertanian";;"Pusat Perpustakaan Dan Penyebaran Teknologi Pertanian (pustaka) ";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/briket arang limbah sekam padi.pdf"
"hay sebagai pakan ternak di musim kemarau ";"Direktorat Jenderal Peternakan dan Kesehatan Hewan";;"Direktorat Jenderal Peternakan Dan Kesehatan Hewan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Hay_Pakan Ternak.pdf"
"Budidaya Jahe";"Badan Penelitian dan Pengembangan Pertanian";;"Badan Penelitian Dan Pengembangan Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budi Daya Jahe.pdf"
"instalasi biogas skala rumah tangga ";"Pusat Perpustakaan dan Penyebaran Teknologi Pertanian";;"Pusat Perpustakaan Dan Penyebaran Teknologi Pertanian (pustaka) ";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/instalasi biogas skala rumah tangga.pdf"
"Ayam KUB 2";"Balai Penelitian Ternak";;"Badan Penelitian Dan Pengembangan Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Ayam KUB 2.pdf"
"e-form peternakan";"Pust Data dan Sistem Informasi Pertanian";;"Pusat Data Dan Sistem Informasi Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/e-form peternakan.pdf"
"Itik MA pendatang baru penghasil telur";"Badan Penelitian dan Pengamatan Pertanian";;"Badan Penelitian Dan Pengembangan Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Itik MA.pdf"
"Asuransi Usaha Tani Padi";"Sekretariat Direktorat Jendral Prasarana dan Sarana Pertanian";;"Sekretariat Direktorat Jenderal";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/asuransi usaha tani padi.pdf"
